n,rue,numero_civique,categorie_de_bien,valeur_patrimoniale,liste_exceptionnelle_cahier_2005,statut_rpcq
1,Cambridge,15,Bâtiment principal,Forte,non,
2,Lakeshore,19992,Bâtiment principal,Supérieure,oui,
3,Picardy,20,Bâtiment principal,Supérieure,oui,
4,Lakeshore,20010,Bâtiment principal,Supérieure,non,
5,Place Wilson,20026,Bâtiment principal,Moyenne,non,
6,Lakeshore,20094,Bâtiment principal,Supérieure,non,
7,Lakeshore,20122,Bâtiment principal,Supérieure,oui,"RPCQ 93440 — maison Rangé-Dit-Laviolette, citée 2001-12-11"
8,Lakeshore,20122,Bâtiment secondaire,Moyenne,oui,"RPCQ 93440 — maison Rangé-Dit-Laviolette, citée 2001-12-11"
9,Lakeshore,20154,Bâtiment principal,Moyenne,non,
10,Lakeshore,20154,Bâtiment secondaire,Moyenne,non,
11,Lakeshore,20180,Bâtiment principal,Supérieure,non,
12,Lakeshore,20237,Bâtiment principal,Moyenne,oui,
13,Lakeshore,20237,Bâtiment secondaire,Moyenne,oui,
14,Lakeshore,20270,Bâtiment principal,Forte,oui,
15,Lakeshore,20285,Bâtiment principal,Supérieure,oui,
16,Lakeshore,20329-20331,Bâtiment principal,Forte,oui,
17,Lakeshore,20329-20331,Bâtiment secondaire,Supérieure,oui,
18,Lakeshore,20358,Bâtiment principal,Moyenne,non,
19,Lakeshore,20360,Bâtiment principal,Moyenne,non,
20,Lakeshore,20389,Bâtiment principal,Supérieure,non,
21,Lakeshore,20389,Bâtiment secondaire,Moyenne,non,
22,Lakeshore,20410,Bâtiment principal,Supérieure,oui,
23,Lakeshore,20475,Bâtiment principal,Moyenne,oui,
24,Lakeshore,20477,Bâtiment principal,Supérieure,oui,
25,Lakeshore,20625,Bâtiment principal,Forte,oui,
26,Lakeshore,20684,Bâtiment principal,Supérieure,oui,
27,Lakeshore,20690,Bâtiment principal,Forte,non,
28,Lakeshore,20713,Bâtiment principal,Moyenne,non,
29,Gay Cedars,20726,Bâtiment principal,Forte,non,
30,Gay Cedars,20726,Bâtiment principal,Forte,non,
31,Gay Cedars,20726,Bâtiment principal,Supérieure,non,
32,Gay Cedars,20746,Bâtiment principal,Moyenne,non,
33,Lakeshore,20758,Bâtiment principal,Forte,non,
34,Lakeshore,20790,Bâtiment principal,Supérieure,non,
35,Lakeshore,20790,Bâtiment secondaire,Forte,non,
36,Lakeshore,20799,Bâtiment principal,Moyenne,non,
37,Lakeshore,20802,Bâtiment principal,Supérieure,oui,
38,Lakeshore,20826,Bâtiment principal,Forte,oui,
39,Lakeshore,20826,Bâtiment secondaire,Supérieure,oui,
40,Oakridge,211,Bâtiment principal,Supérieure,oui,
41,Oxford,32,Bâtiment principal,Forte,non,
42,Magnolia,41,Bâtiment principal,Faible,non,
43,Oxford,41,Bâtiment principal,Moyenne,non,
44,Oxford,43,Bâtiment principal,Faible,non,
45,Saint-Andrew's,47,Bâtiment principal,Moyenne,non,
46,Saint-Andrew's,63,Bâtiment principal,Moyenne,non,
47,Oxford,64,Bâtiment principal,Moyenne,non,
48,Oxford,84,Bâtiment principal,Forte,oui,
