street,civic_numbers,model_code,units
Rue Ampère,1776,,1
Rue Berthier,2797,A02,1
Rue Berthier,2801,B02,1
Rue Berthier,2805,D02,1
Rue Berthier,2811,B01,1
Rue Berthier,2815,A01,1
Rue Berthier,2819,A02,1
Rue Berthier,2823,F03,1
Rue Berthier,2827,B01,1
Rue Berthier,2828,A08,1
Rue Berthier,2831,B02,1
Rue Berthier,2835,F02,1
Rue Berthier,2836,,1
Rue Berthier,2839,A01,1
Rue Berthier,2840,A01,1
Rue Berthier,2843,A07,1
Rue Berthier,2844,D02,1
Rue Berthier,2847,B02,1
Rue Berthier,2848,A07,1
Rue Berthier,2851,B01,1
Rue Berthier,2852,D01,1
Rue Berthier,2855,F03,1
Rue Berthier,2856,A02,1
Rue Berthier,2859,B02,1
Rue Berthier,2860,T03,1
Rue Berthier,2863,T05,1
Rue Berthier,2920,M06,1
Rue Berthier,2923-25,,2
Rue Berthier,2924,Q02,1
Rue Berthier,2928,M04,1
Rue Berthier,2929-33,F18,2
Rue Berthier,2932,M04,1
Rue Berthier,2934-36,Q02,2
Rue Berthier,2937-41,F18,2
Rue Berthier,2945,,1
Rue Berthier,2949-53,F18,2
Rue Berthier,2957,,1
Rue Berthier,2961-65-67-69-71-73,R04,6
Rue Berthier,2970-72-74-76-80-82,R03,6
Rue Berthier,2983-85-87-89-91-93,R04,6
Rue Berthier,2994-96-98-00-02-04,R03,6
Rue Berthier,2997,,1
Rue Berthier,3001,,1
Rue Berthier,3003-05-07-09-11-13,R04,6
Rue Berthier,2911-2919,,2
Rue Brittany,2911-2919,,2
Rue Brittany,2825,B02,1
Rue Brittany,2829,A01,1
Rue Brittany,2833,F03,1
Rue Brittany,2837,D02,1
Rue Brittany,2841,S01,1
Rue Brittany,2845,S02,1
Rue Brittany,2849,S01,1
Rue Brittany,2853,,1
Rue Brittany,2857,T05,1
Rue Castner,1581,,1
Rue Castner,1585,,1
Rue Castner,1591,,1
Rue Castner,1597,,1
Rue Castner,1601,,1
Rue Castner,1605,,1
Rue Castner,1609,,1
Rue Castner,1613,,1
Rue Castner,1645,,1
Rue Castner,1646,M07,1
Rue Castner,1649,M11,1
Rue Castner,1650,M07,1
Rue Castner,1653,M09,1
Rue Castner,1654-58,G02,2
Rue Castner,1657-61,G04,2
Rue Castner,1662,H02,1
Rue Castner,1665,M11,1
Rue Castner,1666,H02,1
Rue Castner,1669,H02,1
Rue Castner,1670,,1
Rue Castner,1673-77,G02,2
Rue Castner,1681,H02,1
Rue Castner,1685,S04,1
Rue Castner,1689-93,G03,2
Rue Castner,1690,,1
Rue Castner,1694,,1
Rue Castner,1697,S04,1
Rue Castner,1698,S04,1
Rue Coulomb,1714,,1
Rue Coulomb,1715,G01,1
Rue Coulomb,1718,M05,1
Rue Coulomb,1719,,1
Rue Coulomb,1723,,1
Rue Coulomb,1727,K01,1
Rue Coulomb,1731,K01,1
Rue Coulomb,1735,,1
Rue Coulomb,1739,F06,1
Rue Coulomb,1743,,1
Rue Coulomb,1747,,1
Rue Coulomb,1751,L01,1
Rue Coulomb,1755-59,Q02,2
Rue Davy,2731,C03,1
Rue Davy,2736,D01,1
Rue Davy,2737,A01,1
Rue Davy,2740,A01,1
Rue Davy,2741,A03,1
Rue Davy,2744,B01,1
Rue Davy,2745,A02,1
Rue Davy,2748,C02,1
Rue Davy,2749,A01,1
Rue Davy,2752,A07,1
Rue Davy,2753,B01,1
Rue Davy,2756-60,C04,2
Rue Davy,2757,D01,1
Rue Davy,2761,C01,1
Rue Davy,2764,D02,1
Rue Davy,2765,A02,1
Rue Davy,2768,B02,1
Rue Davy,2769-71,B02,2
Rue Davy,2772,A07,1
Rue Davy,2773,B01,1
Rue Davy,2776,D01,1
Rue Davy,2777,A07,1
Rue Davy,2780,A02,1
Rue Davy,2781,A01,1
Rue Davy,2784,A02,1
Rue Davy,2785,A01,1
Rue Davy,2788,B02,1
Rue Davy,2789,A02,1
Rue Davy,2792,A01,1
Rue Davy,2814,,1
Rue Deville,2744,D01,1
Rue Deville,2746-48,B01,2
Rue Deville,2749,A04,1
Rue Deville,2752,F03,1
Rue Deville,2753,D02,1
Rue Deville,2756,A04,1
Rue Deville,2757,C01,1
Rue Deville,2760,A01,1
Rue Deville,2761,B02,1
Rue Deville,2763,A01,1
Rue Deville,2764,A02,1
Rue Deville,2768,A01,1
Rue Deville,2769,F01,1
Rue Deville,2772,B02,1
Rue Deville,2773,A07,1
Rue Deville,2776,C04,1
Rue Deville,2777,B01,1
Rue Deville,2779-81,C02,2
Rue Deville,2778,C01,1
Rue Deville,2784,A07,1
Rue Deville,2785,D01,1
Rue Deville,2788,B02,1
Rue Deville,2789,A01,1
Rue Deville,2792,A04,1
Rue Deville,2794-96,A04,2
Rue Deville,2800,B02,1
Rue Deville,2802-04,D01,2
Rue Edison,1807,C04,1
Rue Edison,1811,A01,1
Rue Edison,1815,C01,1
Rue Edison,1819,D02,1
Rue Edison,1823,B01,1
Rue Edison,1827,A07,1
Rue Edison,1831,C01,1
Rue Edison,1835,C01,1
Rue Edison,1839,B02,1
Rue Edison,1843,C01,1
Rue Edison,1847,B01,1
Rue Edison,1851,F02,1
Rue Edison,1855,B01,1
Rue Faraday,2816,B01,1
Rue Faraday,2820,B02,1
Rue Faraday,2824,C04,1
Rue Faraday,2828,F03,1
Rue Faraday,2832,A07,1
Rue Faraday,2836,A01,1
Rue Faraday,2840,F01,1
Rue Faraday,2844,A04,1
Rue Faraday,2848,,1
Rue Faraday,2852,D03,1
Rue Faraday,2854-58,C06,2
Rue Faraday,2860,A05,1
Rue Faraday,2864,D04,1
Rue Fickes,1846,T06,1
Rue Fickes,1850-52-54,,3
Rue Fickes,1851-55,F16,2
Rue Fickes,1858-62,Q02,2
Rue Fickes,1859,T06,1
Rue Fickes,1863,,1
Rue Fickes,1867-71,F07,2
Rue Fickes,1875,M01,1
Rue Fickes,1878-82,F07,2
Rue Fickes,1879,M01,1
Rue Fickes,1883-87,F07,2
