ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,ADRESSE,TYPE_VOIE,NOM_VOIE,NOM_INDICATIF,STATUT_INV_PRE_40_2025,DEMOLI,LIEN_FTP,LNG,LAT
1_001,1,Bâtiment remarquable,7-7 avenue Ainslie,avenue,Ainslie,maison J.-B.-Beaudry-Leman,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/7_avenue_ainslie_CAT_1.pdf,-73.6128723720578,45.51374085
1_012,1,Bâtiment remarquable,1100-1144 avenue Bernard,avenue,Bernard,appartements Royal York,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1100_44_avenue_bernard_CAT_1.pdf,-73.6072662,45.5212963
1_002,1,Bâtiment remarquable,18-18 avenue Ainslie,avenue,Ainslie,maison Édouard-Ouellette,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/18_avenue_ainslie_CAT_1.pdf,-73.6137445,45.5135935
1_003,1,Bâtiment remarquable,22-22 avenue Ainslie,avenue,Ainslie,maison Rodolphe-Tourville,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_ainslie_CAT_1.pdf,-73.6140101577257,45.5137001932859
1_004,1,Bâtiment remarquable,26-26 avenue Ainslie,avenue,Ainslie,maison Ferdinand-Guérin,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_ainslie_CAT_1.pdf,-73.6143929,45.5138516
1_005,1,Bâtiment remarquable,749-749 avenue Antonine-Maillet,avenue,Antonine-Maillet,maison Madame Harry-Tittleman,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/749_avenue_antonine_maillet_CAT_1.pdf,-73.6168219,45.5157709
1_008,1,Bâtiment remarquable,11-11 avenue Beloeil,avenue,Beloeil,maison A.-Reeve,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/11_avenue_beloeil_CAT_1.pdf,-73.6116823,45.5130566
1_010,1,Bâtiment remarquable,1040-1050 avenue Bernard,avenue,Bernard,appartements Montcalm,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1040_50_avenue_bernard_CAT_1.pdf,-73.6063999,45.5224203
1_011,1,Bâtiment remarquable,1058-1066 avenue Bernard,avenue,Bernard,appartements Garden Court,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1058_66_avenue_bernard_CAT_1.pdf,-73.606646,45.5218522
1_013,1,Bâtiment remarquable,1145-1145 avenue Bernard,avenue,Bernard,bureau de poste d’Outremont,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1145_avenue_bernard_CAT_1.pdf,-73.6078949470705,45.52142905
1_014,1,Bâtiment remarquable,1155-1185 avenue Bernard,avenue,Bernard,garage public et salle d'exposition,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1167_77_avenue_bernard_CAT_1.pdf,-73.60822528,45.5211081
1_017,1,Bâtiment remarquable,1360-1360 avenue Bernard,avenue,Bernard,appartements Park Lane,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1360_avenue_bernard_CAT_1.pdf,-73.6097292,45.5185469
1_018,1,Bâtiment remarquable,1420-1420 avenue Bernard,avenue,Bernard,appartements La Lorraine,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1420_avenue_bernard_CAT_1.pdf,-73.6102826,45.5179072
1_009,1,Bâtiment remarquable,36-36 avenue Beloeil,avenue,Beloeil,maison Omer-Lapierre,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/36_avenue_beloeil_CAT_1.pdf,-73.6104852,45.5130467
1_019,1,Bâtiment remarquable,1425-1425 avenue Bernard,avenue,Bernard,appartements Miraflor,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1425_29_avenue_bernard_CAT_1.pdf,-73.6108355,45.5182127
1_020,1,Bâtiment remarquable,1440-1440 avenue Bernard,avenue,Bernard,appartements Belvédère,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1440_avenue_bernard_CAT_1.pdf,-73.6104497,45.5177357
