rpcq_id,name,category,date,address,municipality,statut,statuts_anterieurs,in_registre,url
167996,Ancien couvent de Saint-Louis-de-France,"Services et institutions (Couvents, monastères et abbayes)",1882 (Construction),"775, rue Saint-Louis",Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20) | Citation — Immeuble patrimonial (2021-09-13) | Délimitation — Situé dans une aire de protection | Inventorié — --,"Recommandation ministérielle de déclaration, 2025-06-20",oui,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=167996&type=bien
232882,Ancien magasin Salomon-Jacques,Fonction commerciale (Commerces de vente au détail > Magasins généraux),1923 (Rénovation),"803, rue Saint-Pierre ; 805, rue Saint-Pierre",Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20) | Délimitation — Situé dans une aire de protection | Inventorié — --,"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=232882&type=bien
211827,Ancienne église anglicane Saint-Michael,"Services et institutions (Églises, temples, synagogues et mosquées)",1895 (Construction) ; 2020 (Agrandissement),"1011, rue Saint-Louis",Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20) | Citation — Immeuble patrimonial (2021-09-13) | Délimitation — Situé dans une aire de protection,"Recommandation ministérielle de déclaration, 2025-06-20",oui,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=211827&type=bien
105694,Barrage d'alimentation de l'île des Moulins,"Transport, communication et services publics (Installations électriques > Barrages hydroélectriques et installations connexes)",,,Terrebonne,Classement — Situé dans un immeuble patrimonial | Déclaration — Situé dans un site patrimonial (2026-05-20),"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=105694&type=bien
105693,Barrage de contrôle de l'île des Moulins,"Transport, communication et services publics (Installations électriques > Barrages hydroélectriques et installations connexes)",,,Terrebonne,Classement — Situé dans un immeuble patrimonial | Déclaration — Situé dans un site patrimonial (2026-05-20),"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=105693&type=bien
199039,Boulangerie,"Fonction industrielle, transformation de matières végétales et animales (Boulangeries)",vers 1803 (Construction),"940, place de l'Île-des-Moulins",Terrebonne,Classement — Situé dans un immeuble patrimonial | Déclaration — Situé dans un site patrimonial (2026-05-20),"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=199039&type=bien
239101,Boulevard des Braves,"Transport, communication et services publics (Routes et voies publiques)",,boulevard des Braves,Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20),"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=239101&type=bien
105691,Bureau seigneurial de l'île des Moulins,Fonction résidentielle (Manoirs seigneuriaux),vers 1845 (Construction),"900, place de l'Île-des-Moulins",Terrebonne,Classement — Situé dans un immeuble patrimonial | Déclaration — Situé dans un site patrimonial (2026-05-20),"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=105691&type=bien
232869,Château Millette,Fonction résidentielle (Maisons rurales et urbaines),1914 (Construction),"939, rue Saint-Louis",Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20) | Citation — Immeuble patrimonial (2021-09-13) | Inventorié — -- | Délimitation — Situé dans une aire de protection,"Recommandation ministérielle de déclaration, 2025-06-20",oui,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=232869&type=bien
238743,Château de la Rive,Fonction résidentielle (Édifices à logements multiples),1991 (Construction),"734, rue Saint-Jean-Baptiste",Terrebonne,Déclaration — Situé dans un site patrimonial (2026-05-20) | Inventorié — --,"Recommandation ministérielle de déclaration, 2025-06-20",non,https://www.patrimoine-culturel.gouv.qc.ca/detail.do?methode=consulter&id=238743&type=bien
