IDENTIFIANT_BATIMENT,NOM_HISTORIQUE ,TYPOLOGIE_SPECIFIQUE,CIVIQUE_MIN,CIVIQUE,TYPE_DE_VOIE,CIVIQUE_MAX,LIEN,VOIE,EST_OUEST,ARRONDISSEMENT,HISTORIQUE_SOMMAIRE ,DEBUT_DES_TRAVAUX,FIN_DES_TRAVAUX,CENTRO_X,CENTRO_Y
0039-27-4599-00,Maisons-magasins Jacob-De Witt  I,maison-magasin,412,412-414,rue,414,,McGill,,Ville-Marie (Montréal),"L'homme d'affaires et banquier Jacob De Witt fait construire un ensemble comprenant trois maisons-magasins en 1846, sur un terrain qu'il a acquis seize ans plus tôt avec un hangar donnant sur la rue de Longueuil. Il engage le maçon David Brown pour lui construire les bâtiments d'après les plans de l'architecte Moses Marshall. Cet immeuble compte deux des trois maisons-magasins initialement bâties. À l'instar de bâtiments semblables, celles-ci sont vouées au départ au commerce et à l'habitation. En 1847, le chapelier et fourreur Alexander McDowall occupe la maison-magasin la plus au sud, alors que le fabricant de chaises Edmund Gates loue l'unité se trouvant au centre de l'ensemble. Les locataires ont aussi accès à un entrepôt de deux étages adjacent à leurs maisons-magasins et construit en 1847.  

Dès les années 1860, l'immeuble ne sert plus qu'à des fins de commerce, de fabrication et d'entreposage. Le fabricant de vêtements James Shanks Evans, locataire du magasin du centre depuis au moins huit ans, acquiert la propriété en 1866. L'entreprise d'Evans n'occupe plus les lieux en 1870 qui sont loués à des marchands de <i>dry goods</i> (tissus, articles de mercerie et peut-être autres produits) et à des épiciers en gros. En 1878, les fleuristes et grainetiers William Ewing & Co s'y installent.
 
En 1900, les héritiers Evans se partagent la propriété. Les deux unités de l'ensemble les plus au sud demeurent liées par une histoire commune. En 1922, William Ewing & Co se porte acquéreur de l'immeuble. L'entreprise occupe les lieux jusqu'en 1949. Une compagnie d'importation de peinture s'y établit par la suite.

À partir des années 1990 jusqu'en 2004, l'immeuble est occupé par une clientèle diversifiée et différente d'années en années. Ainsi, s'y succèdent un café, une galerie d'art, un centre de culture physique et des entreprises de communication, de design et d'expédition. 
",1846,,-73.5579,45.5001
0039-27-5992-00,Magasin-entrepôt Dominion Block II,magasin-entrepôt,404,404,rue,404,,McGill,,Ville-Marie (Montréal),NULL,1866,1867,-73.5577,45.5
0039-27-6787-00,Magasin-entrepôt Dominion Block I,magasin-entrepôt,400,400,rue,400,,McGill,,Ville-Marie (Montréal),NULL,1866,1867,-73.5575,45.5
0039-28-0582-00,Maison-magasin Olivier-Berthelet,maison-magasin,445,445-451,rue,451,,McGill,,Ville-Marie (Montréal),,1850,1851,-73.5584,45.5007
0039-28-0619-00,Magasin-entrepôt Mills,magasin-entrepôt,436,436-438,rue,438,,McGill,,Ville-Marie (Montréal),,1859,,-73.5583,45.5003
0039-28-1415-00,430 rue McGill ,magasin-entrepôt,430,430,rue,430,,McGill,,Ville-Marie (Montréal),NULL,1908,,-73.5582,45.5003
0039-28-1974-00,Maison Charles-Simon-Delorme II,non applicable,439,439-443,rue,443,,McGill,,Ville-Marie (Montréal),,1816,1817,-73.5582,45.5007
0039-28-2609-00,Magasins-entrepôts Margaret-Benny,magasin-entrepôt,420,420,rue,420,,McGill,,Ville-Marie (Montréal),"Margaret Benny, la veuve du marchand et industriel Thomas Peck, fait construire cet immeuble en 1880-1881. Il est composé de trois magasins-entrepôts, lesquels logent au départ un locataire chacun. Parmi les occupants d’origine, on retrouve entre autres un grossiste de chapeaux et de fourrures, un commerce d’alimentation et, à partir de 1882, un fabricant d’articles de papier. Entre 1964 et 1975, le magasin-entrepôt au sud perd deux étages. On reconstruit ces deux étages en 1991 lors d’importants travaux de restauration. Le bâtiment est alors transformé en immeuble de bureaux.",1880,1881,-73.5581,45.5002
0039-28-3170-00,Maison Charles-Simon-Delorme I,non applicable,431,431-433,rue,433,,McGill,,Ville-Marie (Montréal),,1816,1817,-73.558,45.5007
0039-28-3703-00,Maison-magasin Jacob-De Witt II,maison-magasin,416,416,rue,416,,McGill,,Ville-Marie (Montréal),"L'homme d'affaires et banquier Jacob De Witt fait construire un ensemble comprenant trois maisons-magasins en 1846, sur un terrain qu'il a acquis seize ans plus tôt avec un hangar donnant sur la rue de Longueuil. Il fait appel au maçon David Brown pour lui construire l'ensemble selon les plans de l'architecte Moses Marshall. Cet immeuble comprend la maison-magasin la plus au nord de l'ensemble. Comme d'autres bâtiments semblables, celle-ci est dédiée au départ au commerce et à l'habitation. En 1847, les marchands en gros Kershaw & Whitenhall en sont les premiers locataires. Ils ont aussi accès à un entrepôt de deux étages adjacent à la maison-magasin construit à l'été 1847.  

Dès les années 1860, l'immeuble ne sert plus qu'à des fins de commerce, de fabrication et d'entreposage. Hôte d'un manufacturier de vêtements depuis le milieu des années 1850, il est acheté en 1866 par James Shanks Evans. Des épiciers en gros, des pharmaciens et des fabricants de cadres et de moulures occupent aussi les lieux jusqu'à la fin du XIXe siècle. Vers 1885, l'immeuble est augmenté d'un étage et coiffé d'un toit plat agrémenté d'une fausse mansarde. 

En 1900, les héritiers Evans se partagent l'ensemble. Le bâtiment revient à James Shanks Evans fils qui le loue à différentes compagnies d'équipements électriques jusqu'en 1930, date à laquelle des marchands de fourrures s'y installent pour près de vingt ans. Des années 1950 jusqu'aux années 1980, la clientèle est principalement composée d'imprimeries et de commerces d'équipements électriques. En 2004, un organisme pour la distribution et la promotion de la musique de compositeurs canadiens occupe l'immeuble. 
",1846,,-73.558,45.5001
