localite,immeubles_retenus,date_adoption,sans_date,fichier,octets,sha256,url
Le Plateau-Mont-Royal,12260,2026-03-26,0,pla_imm_adopte_pre1940_s.geojson,15420287,5247c04b77a392def1d2176e84c3a7c2595bc8d572c4ce4cc6e8a45af186ce47,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/9cc8a3ff-d45d-447c-bb94-22f9c4590d3a/download/pla_imm_adopte_pre1940_s.geojson
Rosemont–La Petite-Patrie,8585,2026-02-19,0,rpp_imm_adopte_pre1940_s.geojson,10593748,ab5fab657fdb9f6241a37e89d4672cb7b44cb093428fa7b7224840ba65b6c779,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/95ffc7b7-75ce-4f48-9562-2b67a9463946/download/rpp_imm_adopte_pre1940_s.geojson
Côte-des-Neiges–Notre-Dame-de-Grâce,7572,2026-02-19,0,cdn_imm_adopte_pre1940_s.geojson,9614055,84b6118772f4569db950d82c70b0a538e5db8b6e10ac973874e466fcc01a6cd1,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/3f880fac-17ce-4539-b5b7-1b8554531019/download/cdn_imm_adopte_pre1940_s.geojson
Ville-Marie,5632,2026-03-26,0,vim_imm_adopte_pre1940_s.geojson,7535364,08db982b3a25edc358e4785d6e2e510981498947a2e7411d5f705899facffc5f,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/6a9d7a27-110e-4529-b08d-100c66ee33a0/download/vim_imm_adopte_pre1940_s.geojson
Le Sud-Ouest,5466,2025-09-25,0,lso_imm_adopte_pre1940_s.geojson,7085399,bb2304be8caf3b14891b1389adcbccd321adf50e547c87620c0bf3a2328641ad,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/04341e36-d9aa-49ca-9fa4-636345ec56b2/download/lso_imm_adopte_pre1940_s.geojson
Mercier-Hochelaga-Maisonneuve,5088,2025-09-25,0,mhm_imm_adopte_pre1940_s.geojson,6270693,64701e693c6db73036c2a34c7cf0373492130e944ce4777da557239678d567c3,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/f93f22e8-ce12-4f43-9d6e-af6ff7cbbb88/download/mhm_imm_adopte_pre1940_s.geojson
Villeray-Saint-Michel-Parc-Extension,4612,2025-09-25,0,vse_imm_adopte_pre1940_s.geojson,5888599,4d7a03bf43929bf1702ebb7ad7cb168ac1950a17c24fbf3b2ebe17c275347ed3,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/90788469-57d0-4992-9526-f9f388337498/download/vse_imm_adopte_pre1940_s.geojson
Verdun,4023,2025-12-18,0,ver_imm_adopte_pre1940_s.geojson,4593991,b240096859c1121016134e236d6fe8ffd6c5e6dbd17905a41cb1dd022ed94d7f,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/4cecf408-39e7-4ffa-8693-25efa3db2834/download/ver_imm_adopte_pre1940_s.geojson
Westmount,3654,2025-12-18,0,wmt_imm_adopte_pre1940_s.geojson,4799865,8b633c687529776cd2a41180c03bd08d931b9d646ce64fd1e46532ca23e29377,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/46b2a615-d5f7-4683-9e57-57e7c515138a/download/wmt_imm_adopte_pre1940_s.geojson
Outremont,2903,2025-08-28,0,out_imm_adopte_pre1940_s.geojson,3833647,01f70b8f16044152245caa02c9dbf8546c1368664557a3f5ead5612a37274ece,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/e7180d10-fc21-41db-b956-972a5b4afa30/download/out_imm_adopte_pre1940_s.geojson
Lachine,1683,2026-03-26,0,lac_imm_adopte_pre1940_s.geojson,2024056,681da1e19b5807765de8f317ff2e36a02eccef2cd4d29637fb031f738d6429fb,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/7f70830c-cac3-4179-9f09-2a7cc4d422d1/download/lac_imm_adopte_pre1940_s.geojson
Ahuntsic-Cartierville,1513,2026-03-26,0,ahu_imm_adopte_pre1940_s.geojson,1947274,45ef6ce766c7e530a829e6ee0657a6d2b9d83c81001f3dc533925bb4dda82704,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/f7a58afb-35d6-48ad-b349-b5551f29522b/download/ahu_imm_adopte_pre1940_s.geojson
Montréal-Ouest,880,2025-12-18,0,mto_imm_adopte_pre1940_s.geojson,1032617,809fad15c2a1cd24f5e8f3cc1382de602e1a25870d418a1dceba07ec02336403,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/6d29d403-a65a-4b6a-9140-707d47c6540d/download/mto_imm_adopte_pre1940_s.geojson
Mont-Royal,805,2026-03-26,0,mtr_imm_adopte_pre1940_s.geojson,1104091,ac17f52ccb2ec71a8fabbcb9ad2b444a01e80fb5068d235125755a00934caff9,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/676846f2-d905-477c-92d1-53da43103739/download/mtr_imm_adopte_pre1940_s.geojson
Pointe-Claire,486,2026-03-26,0,pcl_imm_adopte_pre1940_s.geojson,755839,0b8a60c5fcf0017ccf8b297957052296f6fef64730040b2490560c94b4096c97,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/97f444b7-ff55-4d7f-b62f-17f4014673e4/download/pcl_imm_adopte_pre1940_s.geojson
Saint-Laurent,485,2024-04-18,0,sla_imm_adopte_pre1940_s.geojson,619767,d39d896184c27f201f1084b7875cb24b42f5ce5e2aa0ced2120f18a3918239a3,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/0e3d5d23-39fb-470e-8565-1299c75b6a38/download/sla_imm_adopte_pre1940_s.geojson
Sainte-Anne-de-Bellevue,393,2025-03-20,0,sab_imm_adopte_pre1940_s.geojson,705243,2e1041cc151c299ff10f3f577e43d8b5bcfc46e0d768c1bcc1a0bf4b2d06b760,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/cd0bfd57-c425-46b3-b885-d67781ef9cb7/download/sab_imm_adopte_pre1940_s.geojson
LaSalle,391,2026-03-26,0,las_imm_adopte_pre1940_s.geojson,483820,72b4a3ec2ac840110e6f4492d88cd797c1ed2643806705e44450b0270f7a30cb,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/c809f9b3-bf90-4f2f-850f-398d5f9bb867/download/las_imm_adopte_pre1940_s.geojson
Montréal-Nord,389,2025-12-18,0,mtn_imm_adopte_pre1940_s.geojson,479896,2c550d99a0bf5b9e01b5965bd850bb65d58a791761c330048a3a2b090ab2fe6b,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/d6a13cee-b3b0-4d8b-98f8-b8aef55be701/download/mtn_imm_adopte_pre1940_s.geojson
Hampstead,372,2023-06-15,0,hms_imm_adopte_pre1940_s.geojson,514624,b7f6b685bc5d8eab8b6c79b534c00ff07f264486f13e47bc2c09789036e3d41e,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/14c7d985-e49e-45c2-a65f-4bc0a1002b8b/download/hms_imm_adopte_pre1940_s.geojson
Rivière-des-Prairies - Pointe-aux-Trembles,358,,358,rdp_imm_adopte_pre1940_s.geojson,487977,fd833a6a7f9b9b59abf6c0f1ea9aac1eec0c54509639a155d20ac65a6fed90cf,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/ac1e447e-b7b0-4b93-9c46-67bc820dab69/download/rdp_imm_adopte_pre1940_s.geojson
L'Île-Bizard–Sainte-Geneviève,217,,217,ibi_imm_adopte_pre1940_s.geojson,342611,5bd3a260b203d72776c6cacf2ee94321a20127d14392354994908e197d3b12bf,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/1c7d66e4-b634-4fe8-ad94-4d1061bbe614/download/ibi_imm_adopte_pre1940_s.geojson
Dorval,204,2024-11-13,0,drv_imm_adopte_pre1940_s.geojson,297144,a9e98cadc5eaba20003120a3507ce4d4fa9f95603a4b3dd7fb827b3124a5228a,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/299329e9-1655-4e7b-891b-e11f66a0fbc0/download/drv_imm_adopte_pre1940_s.geojson
Montréal-Est,153,,153,mte_imm_adopte_pre1940_s.geojson,194052,9c1c23853bc7d7bec94234b3e9291967276e33fbf866e27804619c52ed14f16d,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/87097bc4-db78-40fe-89df-ef3eb848adc8/download/mte_imm_adopte_pre1940_s.geojson
Beaconsfield,131,2024-11-21,0,bcf_imm_adopte_pre1940_s.geojson,210287,7203936ada359367c95a74031e503858ac87baa7166c6614ca3e297a69b6c784,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/a3d5041a-0c50-4038-bacd-7395caa701a0/download/bcf_imm_adopte_pre1940_s.geojson
Senneville,127,2024-12-19,0,sen_imm_adopte_pre1940_s.geojson,218728,a69210b34b68e79edb574a73ca2073fc31a7a6a48045eae0f638562e31bc2d95,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/09402f78-836b-414b-affc-f2aee5aca46a/download/sen_imm_adopte_pre1940_s.geojson
Pierrefonds - Roxboro,119,,119,prf_imm_adopte_pre1940_s.geojson,196415,a9726f13319d3b6bf7725e29b57eca82ed6c66cb554a9d438525813d8379c0e4,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/27da6c8f-b186-4934-bb3a-305f1c4efd0c/download/prf_imm_adopte_pre1940_s.geojson
