ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,LIEN_FTP,CIV_DE,CIV_A,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENT_VOIE,ADRESSE,NOTE,DEMOLI,NOM_INDICATIF,STATUT_INV_PRE_40_2025,ID_IMM_INV,ID_UEV,NUM_UEV,MATRICULE_83,X,Y,LNG,LAT
1_001,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/7_avenue_ainslie_CAT_1.pdf,7,7,avenue,,Ainslie,,7-7 avenue Ainslie ,,Non,maison J.-B.-Beaudry-Leman,Retenu Inventaire pre 1940,i663-OUT-3031346,3034299,277755,9541-95-8444-6-000-0000,295981.1421155482,5041541.883752364,-73.6128723720578,45.51374085
1_012,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1100_44_avenue_bernard_CAT_1.pdf,1100,1144,avenue,,Bernard,,1100-1144 avenue Bernard ,,Non,appartements Royal York,Retenu Inventaire pre 1940,i663-OUT-3027755,3030156,162702,9642-43-2081-8-001-0020,296420.2807787741,5042380.92644095,-73.6072662,45.5212963
1_002,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/18_avenue_ainslie_CAT_1.pdf,18,18,avenue,,Ainslie,,18-18 avenue Ainslie ,,Non,maison Édouard-Ouellette,Retenu Inventaire pre 1940,i663-OUT-3031356-001,3034309,277750,9541-95-1516-8-000-0000,295912.9784914519,5041525.604780755,-73.6137445,45.5135935
1_003,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_ainslie_CAT_1.pdf,22,22,avenue,,Ainslie,,22-22 avenue Ainslie ,,Non,maison Rodolphe-Tourville,Retenu Inventaire pre 1940,i663-OUT-5028985-001,3034315,283499,9541-85-8238-3-000-0000,295892.23910342203,5041537.491111169,-73.6140101577257,45.5137001932859
1_004,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_ainslie_CAT_1.pdf,26,26,avenue,,Ainslie,,26-26 avenue Ainslie ,,Non,maison Ferdinand-Guérin,Retenu Inventaire pre 1940,i663-OUT-3031367,3034321,277747,9541-85-6052-0-000-0000,295862.3589220622,5041554.35956846,-73.6143929,45.5138516
1_005,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/749_avenue_antonine_maillet_CAT_1.pdf,749,749,avenue,,Antonine-Maillet,,749-749 avenue Antonine-Maillet ,,Non,maison Madame Harry-Tittleman,Retenu Inventaire pre 1940,i663-OUT-3034176-001,3037419,277238,9541-67-7473-5-000-0000,295672.88879167556,5041767.925946836,-73.6168219,45.5157709
1_008,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/11_avenue_beloeil_CAT_1.pdf,11,11,avenue,,Beloeil,,11-11 avenue Beloeil ,,Non,maison A.-Reeve,Retenu Inventaire pre 1940,i663-OUT-3034427,5071393,277150,9641-04-6761-5-000-0000,296074.0181705308,5041465.712584993,-73.6116823,45.5130566
1_010,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1040_50_avenue_bernard_CAT_1.pdf,1040,1050,avenue,,Bernard,,1040-1050 avenue Bernard ,,Non,appartements Montcalm,Retenu Inventaire pre 1940,i663-OUT-3027745,3030108,202464,9642-45-8903-2-000-0000,296488.1223195142,5042505.74748933,-73.6063999,45.5224203
1_011,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1058_66_avenue_bernard_CAT_1.pdf,1058,1066,avenue,,Bernard,,1058-1066 avenue Bernard ,,Non,appartements Garden Court,Retenu Inventaire pre 1940,i663-OUT-3027749,3030112,181250,9642-44-6149-7-000-0000,296468.8133314756,5042442.639549022,-73.606646,45.5218522
1_013,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1145_avenue_bernard_CAT_1.pdf,1145,1145,avenue,,Bernard,,1145-1145 avenue Bernard ,,Non,bureau de poste d’Outremont,Retenu Inventaire pre 1940,i663-OUT-3027799,3030234,462129,9642-33-7199-4-000-0000,296371.1823901859,5042395.744865513,-73.6078949470705,45.52142905
